Generation,Individual,theta_5_c,pr_scbc,theta_w_c,pr_orc,Fitness,ThermalEfficiency,ExergyEfficiency,Cost
3,42,590.9505,2.8017,126.3258,3.0381,0.431500,N/A,N/A,N/A
3,43,590.9505,2.8175,123.8877,3.1675,0.432200,N/A,N/A,N/A
3,44,579.6815,3.1658,116.2465,2.8166,0.427500,N/A,N/A,N/A
3,45,589.2001,3.1715,116.2465,3.1924,0.433500,N/A,N/A,N/A
3,46,583.6661,2.9303,118.6348,3.1604,0.430100,N/A,N/A,N/A
3,47,578.7150,2.8437,122.1380,3.2231,0.427700,N/A,N/A,N/A
3,48,586.1693,3.5596,112.4654,3.3070,0.431800,N/A,N/A,N/A
3,49,586.1693,3.4291,112.4654,3.0462,0.431200,N/A,N/A,N/A
3,50,579.9232,3.2431,114.1163,3.2055,0.429500,N/A,N/A,N/A
4,1,598.3907,2.8874,128.1288,3.4271,0.436800,N/A,N/A,N/A
4,2,589.3063,3.5545,110.9821,3.3501,0.433400,N/A,N/A,N/A
4,3,589.3063,3.5545,112.7619,3.3501,0.433400,N/A,N/A,N/A
4,4,591.2167,3.0497,119.6095,3.3947,0.434800,N/A,N/A,N/A
4,5,591.2167,3.0497,116.0805,3.3791,0.434800,N/A,N/A,N/A
4,6,594.6706,2.8445,127.2273,3.2326,0.434200,N/A,N/A,N/A
4,7,594.6706,2.8445,127.2273,3.5291,0.435400,N/A,N/A,N/A
4,8,591.4373,2.9127,119.1594,3.3682,0.434100,N/A,N/A,N/A
4,9,591.4373,3.0834,120.5315,3.3682,0.435000,N/A,N/A,N/A
4,10,587.2816,3.8528,110.0008,3.4043,0.430600,N/A,N/A,N/A
4,11,594.2911,3.0846,113.0490,2.9168,0.434200,N/A,N/A,N/A
4,12,591.2040,3.1802,119.9515,3.4779,0.435500,N/A,N/A,N/A
4,13,594.8465,3.1802,119.9515,3.6994,0.437900,N/A,N/A,N/A
4,14,594.4780,2.9431,121.2041,3.0689,0.434300,N/A,N/A,N/A
4,15,598.4971,2.9431,123.4805,2.9237,0.435200,N/A,N/A,N/A
4,16,592.5396,3.3236,117.8310,3.4229,0.435900,N/A,N/A,N/A
