Generation,Individual,theta_5_c,pr_scbc,theta_w_c,pr_orc,Fitness,ThermalEfficiency,ExergyEfficiency,Cost
3,32,578.2716,3.2279,110.8030,2.7602,0.511500,0.426700,0.638700,N/A
3,33,574.1945,3.2279,110.8030,2.7602,0.509880,0.424800,0.637500,N/A
3,34,571.7165,2.9651,122.5845,3.1247,0.510480,0.425000,0.638700,N/A
3,35,577.0360,2.9651,129.0225,3.1224,0.512420,0.427300,0.640100,N/A
3,36,576.8877,3.3410,117.2351,3.3527,0.513940,0.428500,0.642100,N/A
3,37,571.0190,3.3410,121.3363,3.3646,0.511600,0.425800,0.640300,N/A
3,38,564.2191,3.3145,117.4781,3.2771,0.508520,0.422400,0.637700,N/A
3,39,576.9767,3.3396,117.4781,3.4549,0.514480,0.429000,0.642700,N/A
3,40,583.0353,3.1237,124.2097,3.0158,0.514660,0.429900,0.641800,N/A
3,41,583.0353,3.1237,126.6065,3.2960,0.516100,0.431100,0.643600,N/A
3,42,576.6795,3.2455,119.5679,2.9621,0.511980,0.426900,0.639600,N/A
3,43,576.6795,3.2455,116.1502,2.9621,0.512020,0.426900,0.639700,N/A
3,44,571.5838,3.5361,116.6733,3.1877,0.509900,0.424500,0.638000,N/A
3,45,571.5838,3.7772,116.6733,3.2637,0.508260,0.423100,0.636000,N/A
3,46,576.8877,3.3410,121.3363,3.4709,0.514520,0.429000,0.642800,N/A
3,47,591.0702,3.1891,128.0640,3.3646,0.519500,0.434900,0.646400,N/A
3,48,582.7281,3.2672,123.7250,2.9987,0.514460,0.429700,0.641600,N/A
3,49,598.0965,3.2672,123.7250,2.8952,0.519660,0.435900,0.645300,N/A
3,50,574.7047,3.0405,122.9340,3.1902,0.512300,0.426900,0.640400,N/A
4,1,594.2471,3.2135,118.5939,3.7120,0.522340,0.437700,0.649300,N/A
4,2,579.9615,3.2323,120.6222,3.1977,0.514560,0.429400,0.642300,N/A
4,3,579.9615,3.2323,120.6222,3.1977,0.514560,0.429400,0.642300,N/A
4,4,587.2385,3.2496,121.0335,3.2266,0.517520,0.432800,0.644600,N/A
4,5,580.3548,3.2126,122.1628,3.1521,0.514480,0.429400,0.642100,N/A
4,6,583.4572,3.4897,121.0093,3.2488,0.515440,0.430600,0.642700,N/A
4,7,583.4572,3.1971,122.1232,3.2488,0.516160,0.431200,0.643600,N/A
4,8,582.2483,3.1686,121.3016,3.3773,0.516360,0.431200,0.644100,N/A
4,9,588.6412,3.1686,121.3016,3.3773,0.518760,0.434000,0.645900,N/A
4,10,590.5040,3.2535,126.3023,2.8713,0.516700,0.432500,0.643000,N/A
4,11,590.5040,3.2535,126.3023,3.2020,0.518580,0.434100,0.645300,N/A
4,12,581.0915,3.2245,120.9978,3.0733,0.514360,0.429400,0.641800,N/A
4,13,592.8425,3.2601,123.4431,3.0733,0.518740,0.434500,0.645100,N/A
4,14,580.3548,3.2496,122.6835,3.1049,0.514200,0.429200,0.641700,N/A
4,15,580.3548,3.2496,123.4613,3.2787,0.515100,0.429900,0.642900,N/A
4,16,588.4876,3.2403,121.1595,3.3554,0.518620,0.433900,0.645700,N/A
4,17,588.4876,3.2403,121.1595,3.3554,0.518620,0.433900,0.645700,N/A
4,18,587.0210,3.1686,121.3016,3.3773,0.518140,0.433300,0.645400,N/A
4,19,590.7136,3.1686,120.9014,3.3773,0.519500,0.434900,0.646400,N/A
4,20,578.6560,3.2413,118.6999,3.1934,0.514040,0.428800,0.641900,N/A
